iter	Logloss
0	0.6757231232
1	0.6602961618
2	0.646075938
3	0.6328656473
4	0.6202962712
5	0.6093213798
6	0.5985245653
7	0.588659751
8	0.5799185292
9	0.5719499852
10	0.5639961912
11	0.5569876408
12	0.5505424879
13	0.5445205954
14	0.5387262997
15	0.5330285487
16	0.5279857152
17	0.5237058286
18	0.5192563613
19	0.514796121
20	0.511197487
21	0.5076694831
22	0.5042084311
23	0.5009310041
24	0.4979355543
25	0.4947575562
26	0.4921403822
27	0.489188191
28	0.4868453905
29	0.4843419513
30	0.4821894676
31	0.4799198991
32	0.4780408709
33	0.4759037571
34	0.4740750887
35	0.4723213433
36	0.4704506409
37	0.4685178105
38	0.4670598878
39	0.4657444904
40	0.4640616129
41	0.4624103512
42	0.4611641614
43	0.4597832559
44	0.4588565809
45	0.4576900426
46	0.4564855142
47	0.4556133975
48	0.4548202221
49	0.4538300515
50	0.4530862414
51	0.4522180623
52	0.4515603732
53	0.4507070741
54	0.4498641336
55	0.4492963119
56	0.4484069177
57	0.4476736481
58	0.4469198653
59	0.4461718167
60	0.4452506308
61	0.4445502087
62	0.4438787123
63	0.4433461294
64	0.442843092
65	0.442353064
66	0.4417904386
67	0.441205502
68	0.4407166222
69	0.4402606596
70	0.439746003
71	0.4392675377
72	0.4389019408
73	0.4384147228
74	0.4379764771
75	0.4374868027
76	0.4371629767
77	0.436733984
78	0.4363507129
79	0.4360034017
80	0.4356814342
81	0.4353605598
82	0.4350530335
83	0.4348094541
84	0.4345782388
85	0.4339045234
86	0.4331752591
87	0.4328470677
88	0.4324783531
89	0.431726411
90	0.4313349208
91	0.4309311965
92	0.4305659019
93	0.4303337288
94	0.4298064656
95	0.4291028823
96	0.4288281061
97	0.4286203608
98	0.4283786809
99	0.4279008243
