iter	Passed	Remaining
0	1	171
1	3	170
2	4	161
3	6	154
4	7	149
5	9	144
6	10	141
7	12	139
8	13	137
9	15	136
10	16	134
11	18	134
12	20	134
13	21	132
14	22	129
15	24	127
16	25	125
17	27	124
18	28	122
19	30	121
20	31	119
21	33	117
22	34	116
23	36	115
24	37	113
25	39	111
26	40	110
27	42	108
28	43	106
29	44	104
30	46	103
31	47	101
32	49	100
33	51	99
34	52	97
35	53	95
36	55	93
37	56	92
38	57	90
39	58	88
40	60	86
41	61	85
42	63	84
43	64	82
44	66	81
45	67	79
46	68	77
47	70	76
48	71	74
49	73	73
50	74	71
51	75	69
52	77	68
53	78	66
54	79	65
55	81	63
56	82	62
57	83	60
58	85	59
59	86	57
60	87	55
61	89	54
62	90	53
63	91	51
64	93	50
65	94	48
66	95	47
67	97	45
68	98	44
69	100	42
70	101	41
71	102	39
72	104	38
73	105	37
74	106	35
75	108	34
76	109	32
77	110	31
78	112	29
79	113	28
80	114	26
81	115	25
82	117	24
83	118	22
84	119	21
85	121	19
86	123	18
87	125	17
88	127	15
89	129	14
90	130	12
91	132	11
92	133	10
93	134	8
94	136	7
95	138	5
96	139	4
97	141	2
98	142	1
99	144	0
