model,cv_mean_f1,cv_std_f1,precision,recall,f1,train_f1,gap,roc_auc,pr_auc,ks,brier,recall@10%,recall@20%,lift@20%
CatBoost,0.6362,0.0211,0.5398,0.7661,0.6333,0.6451,0.0117,0.8411,0.6459,0.5395,0.1568,0.2634,0.4946,1.8681
AdaBoost,0.6311,0.0228,0.5187,0.7849,0.6246,0.6382,0.0136,0.8382,0.6404,0.5354,0.2432,0.2661,0.5,1.8884
GradientBoosting,0.6258,0.0235,0.5558,0.7097,0.6234,0.6676,0.0443,0.8377,0.6432,0.5293,0.1546,0.2715,0.4919,1.858
LogisticRegression,0.6257,0.0248,0.5091,0.7527,0.6074,0.626,0.0186,0.8346,0.6241,0.5185,0.1647,0.2661,0.4731,1.7869
SGD,0.6219,0.0259,0.5198,0.7419,0.6113,0.6255,0.0142,0.836,0.6304,0.521,0.1627,0.2715,0.4785,1.8072
RandomForest,0.6212,0.0138,0.5579,0.6989,0.6205,0.756,0.1355,0.8342,0.6528,0.5179,0.1537,0.2769,0.4973,1.8783
GaussianNB,0.6194,0.0165,0.5026,0.7715,0.6087,0.617,0.0083,0.8341,0.6331,0.514,0.2404,0.2581,0.4892,1.8478
LightGBM,0.615,0.0217,0.5596,0.6694,0.6095,0.69,0.0804,0.8362,0.6483,0.5078,0.1525,0.2769,0.5054,1.9087
ExtraTrees,0.6135,0.0182,0.5577,0.7151,0.6266,0.7171,0.0905,0.8364,0.6502,0.5248,0.1551,0.2742,0.5027,1.8986
NeuralNet,0.6095,0.0215,0.517,0.7366,0.6075,0.6502,0.0427,0.8261,0.6356,0.502,0.1687,0.2769,0.4946,1.8681
XGBoost,0.6084,0.014,0.4564,0.8575,0.5957,0.6753,0.0796,0.8329,0.6362,0.5141,0.2026,0.2742,0.4785,1.8072
DecisionTree,0.6073,0.0113,0.5418,0.7151,0.6165,0.6259,0.0095,0.8245,0.5994,0.5031,0.1647,0.2903,0.4758,1.7971
KNN,0.5905,0.0284,0.5207,0.7097,0.6007,0.6653,0.0646,0.8103,0.5743,0.4831,0.1718,0.2527,0.4839,1.8275
