gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AvgMonthlyCharges,ChargeDeviation,RevenueAtRisk,IsNewCustomer,IsLoyalCustomer,TenureGroup,ServiceCount,HasInternet,ServiceAdoptionRate,LongTermContract,AutoPays,ChargesPerService,TenureValueScore,M2M_HighCharge,NoContractNoAutopay,HighChargeFlag,ZeroTotalCharges,churn_probability,label,action
Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.85,485.25,69.32142857142857,5.528571428571425,4865.25,0,0,1.0,2,1,0.2222222222222222,0,0,24.95,523.9499999999999,1,1,0,0,0.6881720430107527,0,URGENT_MODEL
Male,1,No,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.9,1777.9,93.57368421052632,2.326315789473682,5082.700000000001,0,0,2.0,4,1,0.4444444444444444,0,1,19.18,1822.1000000000001,1,0,1,0,0.573170731707317,1,URGENT_MODEL
Female,0,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,45.95,45.95,45.95,0.0,3262.4500000000003,1,0,0.0,1,1,0.1111111111111111,0,0,22.975,45.95,0,1,0,0,0.573170731707317,1,URGENT_TRIPLE_RISK
Female,0,No,No,36,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),85.85,3003.55,83.43194444444445,2.41805555555554,3090.6,0,1,3.0,7,1,0.7777777777777778,1,1,10.73125,3090.6,0,0,0,0,0.04032258064516129,0,RETAIN
Female,0,Yes,Yes,70,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,0,Credit card (automatic),74.1,5222.3,74.60428571428572,-0.5042857142857287,148.2,0,1,4.0,6,1,0.6666666666666666,1,1,10.585714285714285,5187.0,0,0,0,0,0.04032258064516129,0,RETAIN
Female,1,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),103.75,4188.4,104.71,-0.9599999999999937,3320.0,0,1,3.0,6,1,0.6666666666666666,1,1,14.821428571428571,4150.0,0,0,1,0,0.10077519379844961,0,RETAIN
Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.45,82.85,20.7125,-0.2624999999999993,1390.6,0,0,1.0,1,0,0.1111111111111111,0,1,10.225,81.8,0,0,0,0,0.20689655172413793,0,OUTREACH_MODEL
Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,93.3,93.3,93.3,0.0,6624.3,1,0,0.0,4,1,0.4444444444444444,0,0,18.66,93.3,1,1,1,0,0.9787112271406139,1,URGENT_TRIPLE_RISK
Male,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.75,487.05,20.29375,0.4562500000000007,996.0,0,1,2.0,1,0,0.1111111111111111,1,0,10.375,498.0,0,0,0,0,0.0,0,RETAIN
Male,0,Yes,Yes,45,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,0,Credit card (automatic),73.85,3371.0,74.91111111111111,-1.0611111111111171,1993.9499999999998,0,1,3.0,6,1,0.6666666666666666,1,1,10.549999999999999,3323.2499999999995,0,0,0,0,0.008771929824561403,0,RETAIN
Male,1,Yes,No,8,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,1,Credit card (automatic),64.4,581.7,72.7125,-8.3125,4121.6,0,0,1.0,4,1,0.4444444444444444,0,1,12.88,515.2,0,0,0,0,0.20689655172413793,0,OUTREACH_MODEL
Male,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Electronic check,72.9,818.45,74.40454545454546,-1.5045454545454504,4446.900000000001,0,0,1.0,2,1,0.2222222222222222,0,0,24.3,801.9000000000001,1,1,0,0,0.573170731707317,0,URGENT_MODEL
Female,0,No,No,6,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,1,Bank transfer (automatic),49.65,267.35,44.55833333333334,5.0916666666666615,3276.9,0,0,1.0,2,1,0.2222222222222222,0,1,16.55,297.9,0,0,0,0,0.24193548387096775,1,OUTREACH_MODEL
Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.85,19.85,19.85,0.0,1409.3500000000001,1,0,0.0,1,0,0.1111111111111111,1,1,9.925,19.85,0,0,0,0,0.10077519379844961,0,OUTREACH_NEW_CUSTOMER
Male,0,No,No,33,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Credit card (automatic),79.0,2576.8,78.0848484848485,0.9151515151515071,3081.0,0,1,3.0,3,1,0.3333333333333333,0,1,19.75,2607.0,1,0,0,0,0.4126984126984127,0,URGENT_MODEL
Female,0,No,Yes,41,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),88.5,3645.05,88.90365853658537,-0.4036585365853682,2743.5,0,1,3.0,4,1,0.4444444444444444,0,1,17.7,3628.5,1,0,0,0,0.38461538461538464,0,URGENT_MODEL
Male,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.1,1268.85,18.389130434782608,0.7108695652173935,57.300000000000004,0,1,4.0,1,0,0.1111111111111111,1,0,9.55,1317.9,0,0,0,0,0.0,0,RETAIN
Male,0,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Mailed check,100.05,2090.25,95.01136363636364,5.038636363636357,5002.5,0,0,2.0,5,1,0.5555555555555556,1,0,16.675,2201.1,0,0,1,0,0.24193548387096775,0,OUTREACH_MODEL
Male,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),92.2,6392.85,94.0125,-1.8125,368.8,0,1,4.0,8,1,0.8888888888888888,1,1,10.244444444444445,6269.6,0,0,1,0,0.008771929824561403,0,RETAIN
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.5,19.5,19.5,0.0,1384.5,1,0,0.0,1,0,0.1111111111111111,0,0,9.75,19.5,0,1,0,0,0.38461538461538464,0,URGENT_TRIPLE_RISK
Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.8,607.7,18.990625,0.8093749999999993,792.0,0,1,3.0,1,0,0.1111111111111111,1,0,9.9,633.6,0,0,0,0,0.008771929824561403,0,RETAIN
Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),105.95,4335.2,108.38,-2.4299999999999926,3390.4,0,1,3.0,6,1,0.6666666666666666,1,1,15.135714285714286,4238.0,0,0,1,0,0.10077519379844961,0,RETAIN
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,79.1625,1.4875000000000114,5161.6,0,0,1.0,3,1,0.3333333333333333,0,1,20.1625,645.2,1,0,0,0,0.573170731707317,1,URGENT_MODEL
Male,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),74.45,1261.35,78.834375,-4.3843749999999915,4169.2,0,0,2.0,2,1,0.2222222222222222,0,1,24.816666666666666,1191.2,1,0,0,0,0.4126984126984127,0,URGENT_MODEL
Male,0,Yes,Yes,56,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,1,Mailed check,85.85,4793.8,85.60357142857143,0.24642857142856656,1373.6,0,1,4.0,4,1,0.4444444444444444,1,0,17.169999999999998,4807.599999999999,0,0,0,0,0.05555555555555555,0,RETAIN
Female,0,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.0,89.75,44.875,0.125,3150.0,1,0,0.0,1,1,0.1111111111111111,0,0,22.5,90.0,0,1,0,0,0.6881720430107527,0,URGENT_TRIPLE_RISK
Male,0,No,No,3,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,0,Mailed check,60.65,196.9,65.63333333333334,-4.983333333333341,4184.849999999999,1,0,0.0,3,1,0.3333333333333333,0,0,15.1625,181.95,0,1,0,0,0.24193548387096775,0,URGENT_TRIPLE_RISK
Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),104.5,5921.35,103.88333333333334,0.61666666666666,1567.5,0,1,4.0,6,1,0.6666666666666666,0,1,14.928571428571429,5956.5,1,0,1,0,0.4126984126984127,1,OUTREACH_HIGH_CHARGE
Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,1,Credit card (automatic),85.4,425.9,85.17999999999999,0.22000000000001307,5721.8,0,0,1.0,3,1,0.3333333333333333,0,1,21.35,427.0,1,0,0,0,0.4126984126984127,1,URGENT_MODEL
Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.25,180.3,16.39090909090909,2.8590909090909093,1174.25,0,0,1.0,1,0,0.1111111111111111,0,0,9.625,211.75,0,1,0,0,0.20689655172413793,1,OUTREACH_MODEL
Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.3,595.05,22.038888888888888,-1.7388888888888872,913.5,0,1,3.0,1,0,0.1111111111111111,1,0,10.15,548.1,0,0,0,0,0.008771929824561403,0,RETAIN
Female,0,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),25.25,1733.15,25.867910447761194,-0.6179104477611936,126.25,0,1,4.0,2,0,0.2222222222222222,1,1,8.416666666666666,1691.75,0,0,0,0,0.0,0,RETAIN
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,1,Credit card (automatic),84.5,6130.85,85.15069444444445,-0.6506944444444542,0.0,0,1,4.0,3,1,0.3333333333333333,1,1,21.125,6084.0,0,0,0,0,0.05555555555555555,0,RETAIN
Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,75.0,999.45,76.88076923076923,-1.880769230769232,4425.0,0,0,2.0,2,1,0.2222222222222222,0,0,25.0,975.0,1,1,0,0,0.4126984126984127,1,URGENT_MODEL
Male,0,No,No,4,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,50.4,206.6,51.65,-1.25,3427.2,0,0,1.0,2,1,0.2222222222222222,0,0,16.8,201.6,0,1,0,0,0.4126984126984127,1,URGENT_MODEL
Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.95,147.5,21.071428571428573,-1.1214285714285737,1296.75,0,0,1.0,1,0,0.1111111111111111,0,0,9.975,139.65,0,1,0,0,0.20689655172413793,0,OUTREACH_MODEL
Male,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.65,332.65,22.176666666666666,-2.5266666666666673,1120.05,0,0,2.0,1,0,0.1111111111111111,1,0,9.825,294.75,0,0,0,0,0.008771929824561403,0,RETAIN
Female,0,Yes,Yes,32,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Bank transfer (automatic),61.4,1864.65,58.2703125,3.1296874999999957,2456.0,0,1,3.0,4,1,0.4444444444444444,0,1,12.28,1964.8,0,0,0,0,0.10077519379844961,0,RETAIN
Female,0,No,Yes,26,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,49.5,1265.65,48.67884615384616,0.821153846153841,2277.0,0,1,3.0,2,1,0.2222222222222222,0,0,16.5,1287.0,0,1,0,0,0.24193548387096775,0,OUTREACH_MODEL
Male,1,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.8,587.7,18.365625,1.4343749999999993,792.0,0,1,3.0,1,0,0.1111111111111111,1,1,9.9,633.6,0,0,0,0,0.008771929824561403,0,RETAIN
Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,0,Credit card (automatic),90.0,190.05,95.025,-5.025000000000006,6300.0,1,0,0.0,4,1,0.4444444444444444,0,1,18.0,180.0,1,0,1,0,0.4126984126984127,1,OUTREACH_NEW_CUSTOMER
Male,0,Yes,No,9,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,0,Mailed check,40.65,328.95,36.55,4.100000000000001,2560.95,0,0,1.0,2,1,0.2222222222222222,0,0,13.549999999999999,365.84999999999997,0,1,0,0,0.24193548387096775,1,OUTREACH_MODEL
Male,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,0,Mailed check,60.2,563.5,56.35,3.8500000000000014,3732.4,0,0,1.0,3,1,0.3333333333333333,0,0,15.05,602.0,0,1,0,0,0.25925925925925924,0,URGENT_MODEL
Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),115.55,8312.4,115.44999999999999,0.10000000000000853,0.0,0,1,4.0,8,1,0.8888888888888888,1,1,12.838888888888889,8319.6,0,0,1,0,0.04032258064516129,0,RETAIN
Female,0,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.05,454.05,20.638636363636365,-1.5886363636363647,952.5,0,0,2.0,1,0,0.1111111111111111,0,1,9.525,419.1,0,0,0,0,0.10077519379844961,0,RETAIN
Female,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.0,211.95,19.268181818181816,0.7318181818181841,1220.0,0,0,1.0,1,0,0.1111111111111111,1,0,10.0,220.0,0,0,0,0,0.04032258064516129,0,RETAIN
Female,0,No,No,53,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,1,Credit card (automatic),106.95,5785.5,109.16037735849056,-2.210377358490561,2032.05,0,1,4.0,6,1,0.6666666666666666,1,1,15.278571428571428,5668.35,0,0,1,0,0.20689655172413793,1,OUTREACH_MODEL
Female,0,No,No,7,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Electronic check,61.4,438.9,62.699999999999996,-1.2999999999999972,3991.0,0,0,1.0,4,1,0.4444444444444444,0,0,12.28,429.8,0,1,0,0,0.24193548387096775,0,OUTREACH_MODEL
Male,0,No,No,19,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,1,Bank transfer (automatic),65.35,1231.85,64.83421052631579,0.5157894736842081,3463.5499999999997,0,0,2.0,4,1,0.4444444444444444,1,1,13.069999999999999,1241.6499999999999,0,0,0,0,0.04032258064516129,0,RETAIN
Male,1,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.05,770.6,45.32941176470588,-0.279411764705884,2477.75,0,0,2.0,1,1,0.1111111111111111,0,0,22.525,765.8499999999999,0,1,0,0,0.4126984126984127,1,URGENT_MODEL
Female,0,No,No,5,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,53.8,283.95,56.79,-2.990000000000002,3604.6,0,0,1.0,3,1,0.3333333333333333,0,0,13.45,269.0,0,1,0,0,0.24193548387096775,0,OUTREACH_MODEL
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),95.65,778.1,97.2625,-1.6124999999999972,6121.6,0,0,1.0,4,1,0.4444444444444444,0,1,19.130000000000003,765.2,1,0,1,0,0.6881720430107527,1,URGENT_MODEL
Female,1,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),117.35,8436.25,117.17013888888889,0.17986111111110858,0.0,0,1,4.0,8,1,0.8888888888888888,1,1,13.038888888888888,8449.199999999999,0,0,1,0,0.04032258064516129,0,RETAIN
Female,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,69.9,497.3,71.04285714285714,-1.1428571428571388,4543.5,0,0,1.0,1,1,0.1111111111111111,0,0,34.95,489.30000000000007,0,1,0,0,0.4126984126984127,0,URGENT_MODEL
Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.05,461.3,18.452,0.597999999999999,895.35,0,1,3.0,1,0,0.1111111111111111,0,0,9.525,476.25,0,1,0,0,0.10077519379844961,0,RETAIN
Female,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,88.95,355.2,88.8,0.15000000000000568,6048.6,0,0,1.0,4,1,0.4444444444444444,0,0,17.79,355.8,1,1,0,0,0.6881720430107527,1,URGENT_MODEL
Male,1,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,95.9,2745.2,94.66206896551724,1.23793103448277,4123.7,0,1,3.0,5,1,0.5555555555555556,0,0,15.983333333333334,2781.1000000000004,1,1,1,0,0.573170731707317,1,URGENT_MODEL
Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.45,1225.65,19.15078125,0.29921874999999787,155.6,0,1,4.0,1,0,0.1111111111111111,1,1,9.725,1244.8,0,0,0,0,0.0,0,RETAIN
Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,74.15,1387.0,77.05555555555556,-2.9055555555555515,4004.1000000000004,0,0,2.0,2,1,0.2222222222222222,0,0,24.71666666666667,1334.7,1,1,0,0,0.4126984126984127,0,URGENT_MODEL
Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.9,1363.45,19.76014492753623,0.13985507246376727,59.699999999999996,0,1,4.0,1,0,0.1111111111111111,1,0,9.95,1373.1,0,0,0,0,0.0,0,RETAIN
Female,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),23.75,1679.25,23.322916666666668,0.42708333333333215,0.0,0,1,4.0,2,0,0.2222222222222222,1,1,7.916666666666667,1710.0,0,0,0,0,0.0,0,RETAIN
Female,0,No,No,27,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Mailed check,56.15,1439.35,53.30925925925926,2.840740740740742,2526.75,0,1,3.0,3,1,0.3333333333333333,0,0,14.0375,1516.05,0,1,0,0,0.20689655172413793,0,OUTREACH_MODEL
Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),91.05,2954.5,92.328125,-1.2781250000000028,3642.0,0,1,3.0,4,1,0.4444444444444444,0,1,18.21,2913.6,1,0,1,0,0.39858968270145534,1,URGENT_MODEL
Female,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),49.05,91.1,45.55,3.5,3433.5,1,0,0.0,2,1,0.2222222222222222,0,1,16.349999999999998,98.1,0,0,0,0,0.4126984126984127,1,OUTREACH_NEW_CUSTOMER
Female,1,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,0,Electronic check,95.65,5471.75,97.70982142857143,-2.059821428571425,1530.4,0,1,4.0,6,1,0.6666666666666666,1,0,13.664285714285715,5356.400000000001,0,0,1,0,0.10077519379844961,0,RETAIN
Female,1,No,Yes,30,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.3,2974.5,99.15,2.1499999999999915,4254.599999999999,0,1,3.0,5,1,0.5555555555555556,0,0,16.883333333333333,3039.0,1,1,1,0,0.4126984126984127,0,OUTREACH_HIGH_CHARGE
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Credit card (automatic),104.9,7732.65,107.39791666666666,-2.4979166666666544,0.0,0,1,4.0,7,1,0.7777777777777778,1,1,13.1125,7552.8,0,0,1,0,0.04032258064516129,0,RETAIN
Male,0,No,Yes,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,49.9,49.9,49.9,0.0,3542.9,1,0,0.0,2,1,0.2222222222222222,0,0,16.633333333333333,49.9,0,1,0,0,0.6881720430107527,0,URGENT_TRIPLE_RISK
